Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,86.129997,86.309998,85.500000,85.949997,84.852402,22483800
2018-01-03,86.059998,86.510002,85.970001,86.349998,85.247299,26061400
2018-01-04,86.589996,87.660004,86.570000,87.110001,85.997597,21912000
2018-01-05,87.660004,88.410004,87.430000,88.190002,87.063805,23407100
2018-01-08,88.199997,88.580002,87.599998,88.279999,87.152649,22113000
2018-01-09,88.650002,88.730003,87.860001,88.220001,87.093422,19484300
2018-01-10,87.860001,88.190002,87.410004,87.820000,86.698524,18652200
2018-01-11,88.129997,88.129997,87.239998,88.080002,86.955208,17808900
2018-01-12,88.669998,89.779999,88.449997,89.599998,88.455803,24271500
2018-01-16,90.099998,90.790001,88.010002,88.349998,87.221756,36599700
2018-01-17,89.080002,90.279999,88.750000,90.139999,88.988899,25602600
2018-01-18,89.800003,90.669998,89.660004,90.099998,88.949409,24159700
2018-01-19,90.139999,90.610001,89.660004,90.000000,88.850685,36875000
2018-01-22,90.000000,91.620003,89.739998,91.610001,90.440132,23601600
2018-01-23,91.900002,92.300003,91.540001,91.900002,90.726418,23412800
2018-01-24,92.550003,93.430000,91.580002,91.820000,90.647446,33277500
2018-01-25,92.470001,93.239998,91.930000,92.330002,91.150932,26383200
2018-01-26,93.120003,94.059998,92.580002,94.059998,92.858841,29172200
2018-01-29,95.139999,95.449997,93.720001,93.919998,92.720627,31569900
2018-01-30,93.300003,93.660004,92.099998,92.739998,91.555695,38635100
2018-01-31,93.750000,95.400002,93.510002,95.010002,93.796707,48756300
2018-02-01,94.790001,96.070000,93.580002,94.260002,93.056290,47227900
2018-02-02,93.639999,93.970001,91.500000,91.779999,90.607948,47867800
2018-02-05,90.559998,93.239998,88.000000,88.000000,86.876228,51031500
2018-02-06,86.889999,91.480003,85.250000,91.330002,90.163704,67998600
2018-02-07,90.489998,91.769997,89.199997,89.610001,88.465668,41107600
2018-02-08,89.709999,89.879997,84.760002,85.010002,83.924408,55628700
2018-02-09,86.300003,88.930000,83.830002,88.180000,87.053932,63499100
2018-02-12,88.739998,89.779999,87.930000,89.129997,87.991791,35720300
2018-02-13,88.930000,90.000000,87.800003,89.830002,88.682854,26407700
2018-02-14,88.510002,90.989998,88.410004,90.809998,90.071472,34960900
2018-02-15,91.209999,92.720001,90.620003,92.660004,91.906433,27823900
2018-02-16,92.449997,93.500000,91.800003,92.000000,91.251793,30596900
2018-02-20,91.480003,93.059998,91.010002,92.720001,91.965942,30911700
2018-02-21,92.980003,93.360001,91.489998,91.489998,90.745941,26922500
2018-02-22,92.050003,92.730003,91.360001,91.730003,90.983994,24392800
2018-02-23,93.599998,94.070000,92.360001,94.059998,93.295044,26329200
2018-02-26,94.400002,95.449997,94.250000,95.419998,94.643974,30199800
2018-02-27,95.739998,95.839996,94.199997,94.199997,93.433899,25869100
2018-02-28,94.839996,95.709999,93.629997,93.769997,93.007401,31167300
2018-03-01,93.989998,94.570000,91.839996,92.849998,92.094879,37135600
2018-03-02,91.580002,93.150002,90.860001,93.050003,92.293259,32830400
2018-03-05,92.339996,94.269997,92.260002,93.639999,92.878456,23901600
2018-03-06,94.339996,94.489998,92.940002,93.320000,92.561058,22175800
2018-03-07,93.160004,93.940002,92.430000,93.860001,93.096672,26716100
